index,id,sub_domain,taxonomy_level
1,Web,Web Applications,Understand
1.1,Web_Application,Web Applications,Remember
1.2,Web_Foundation,Web Applications,Remember
2,Knowledge_Base,Knowledge Organisation,Understand
2.1,Building_Knowledge_Repositories,Knowledge Organisation,Understand
2.1.1,Manifest_Knowledge,Knowledge Organisation,Understand
2.1.2,Latent_Knowledge,Knowledge Organisation,Understand
2.2,Different_Knowledge_Bases,Knowledge Organisation,Understand
2.2.1,WordNet,Knowledge Organisation,Remember
2.2.2,YAGO,Knowledge Organisation,Remember
2.2.3,FreeBase,Knowledge Organisation,Remember
2.2.4,DBpedia,Knowledge Organisation,Remember
2.2.5,WikiData,Knowledge Organisation,Remember
2.2.6,BabelNet,Knowledge Organisation,Remember
2.3,Knowledge_Base_Languages,Knowledge Organisation,Remember
2.3.1,RDF,Database,Remember
2.3.1.1,RDF_Schema,Database,Remember
2.3.1.2,SPARQL,Database,Remember
3,Natural_Language_Processing,Natural Language Processing,Analyse
3.1,Knowledge_Acquisition,Natural Language Processing,Apply
3.2,NLP_Preprocessing,Natural Language Processing,Apply
3.2.1,Tokenization,Natural Language Processing,Understand
3.2.2,Lemmatization,Natural Language Processing,Understand
3.2.3,Stemming,Natural Language Processing,Understand
3.2.4,Stopword_Removal,Natural Language Processing,Understand
3.2.5,POS_Tagging,Natural Language Processing,Understand
3.2.5.1,POS_Tagging_Methods,Natural Language Processing,Remember
3.2.5.2,Hidden_Markov_Model,Natural Language Processing,Remember
3.2.6,Parsing,Natural Language Processing,Understand
3.3,Information_Extraction,Natural Language Processing,Analyse
3.3.1,Name_Entity_Recognition,Natural Language Processing,Apply
3.3.1.1,NeuroNER,Natural Language Processing,Understand
3.3.1.2,Entity_Linking,Natural Language Processing,Understand
3.3.1.2.1,Candidate_Entity_Generation,Natural Language Processing,Understand
3.3.1.2.1.1,Dictionary_Based_Techniques,Natural Language Processing,Understand
3.3.1.2.1.2,Surface_form_expansion,Natural Language Processing,Understand
3.3.1.2.1.2.1,Heuristic-based_Method,Natural Language Processing,Understand
3.3.1.2.1.2.2,Supervised_learning_Method,Natural Language Processing,Understand
3.3.1.2.1.3,Search_engine_Based,Natural Language Processing,Understand
3.3.1.2.2,Candidate_Entity_Ranking,Natural Language Processing,Understand
3.3.1.2.2.1,Context_independent_features,Natural Language Processing,Understand
3.3.1.2.2.2,Context_dependant_features,Natural Language Processing,Understand
3.3.1.2.2.3,Supervised_Ranking_Methods,Natural Language Processing,Understand
3.3.1.2.2.4,Unsupervised_Ranking_Methods,Natural Language Processing,Understand
3.3.1.2.3,Unlinkable_Mention_Prediction,Natural Language Processing,Understand
